"","julian_day","hr_bin","unique"
"1",151,3,4
"2",151,4,3
"3",151,5,7
"4",152,3,3
"5",152,4,7
"6",152,5,7
"7",153,3,4
"8",153,4,5
"9",153,5,3
"10",154,3,4
"11",154,4,5
"12",154,5,5
"13",155,3,6
"14",155,4,5
"15",155,5,7
"16",156,3,5
"17",156,4,4
"18",156,5,5
"19",157,3,5
"20",157,4,9
"21",157,5,9
"22",158,3,9
"23",158,4,6
"24",158,5,9
"25",159,3,3
"26",159,4,6
"27",159,5,8
"28",160,3,4
"29",160,4,5
"30",160,5,4
"31",161,3,5
"32",161,4,3
"33",161,5,4
"34",162,3,5
"35",162,4,4
"36",162,5,4
"37",163,3,6
"38",163,4,4
"39",163,5,5
"40",164,3,6
"41",164,4,6
"42",164,5,2
"43",165,3,3
"44",165,4,5
"45",165,5,6
"46",166,3,4
"47",166,4,3
"48",166,5,4
"49",167,3,2
"50",167,4,3
"51",167,5,5
"52",168,3,6
"53",168,4,4
"54",168,5,6
"55",169,3,6
"56",169,4,6
"57",169,5,6
"58",170,3,8
"59",170,4,9
"60",170,5,5
"61",171,3,11
"62",171,4,7
"63",171,5,2
"64",172,3,1
"65",172,4,3
"66",172,5,3
"67",173,3,1
"68",173,4,6
"69",173,5,7
"70",174,3,2
"71",174,4,5
"72",174,5,3
"73",175,3,5
"74",175,4,3
"75",175,5,8
"76",175,NA,1
"77",176,3,8
"78",176,4,3
"79",176,5,4
"80",177,3,8
"81",177,4,5
"82",177,5,7
"83",178,3,2
"84",178,4,4
"85",178,5,4
"86",179,3,5
"87",179,4,5
"88",179,5,3
"89",180,3,1
"90",180,4,4
"91",181,3,2
"92",181,4,2
"93",181,5,1
"94",182,3,3
"95",182,4,5
"96",182,5,4
"97",183,3,2
"98",183,4,2
"99",183,5,3
"100",184,3,4
"101",184,4,3
"102",184,5,4
"103",185,3,4
"104",185,4,4
"105",185,5,3
"106",186,3,3
"107",186,4,2
"108",186,5,4
"109",187,3,5
"110",187,4,4
"111",187,5,4
"112",188,3,3
"113",188,4,5
"114",188,5,3
"115",189,3,1
"116",189,4,4
"117",189,5,4
"118",190,3,2
"119",190,4,4
"120",190,5,4
"121",191,3,1
"122",191,5,2
"123",192,3,3
"124",192,4,6
"125",192,5,3
"126",193,3,1
"127",193,4,3
"128",193,5,4
"129",194,3,2
"130",194,4,4
"131",194,5,5
"132",195,3,3
"133",195,4,4
"134",195,5,2
"135",196,3,2
"136",196,4,4
"137",196,5,4
"138",197,3,1
"139",197,4,4
"140",197,5,3
"141",198,3,4
"142",198,4,3
"143",198,5,4
"144",199,3,1
"145",199,4,1
"146",199,5,3
"147",200,3,1
"148",200,4,5
"149",200,5,2
"150",201,3,3
"151",201,4,1
"152",201,5,2
